"question","plscs_pre","plscs_post","hrt_pre","hrt_post","tb_pre","tb_post","fever_pre","fever_post","fgr_pre","fgr_post","ble_pre","ble_post"
"Q 1","93.3","96.5","75.8","81.4","95.1","96.5","89.9","93.2","69.5","70.9","76.1","86.0"
"Q 2","88.3","94.8","87.0","94.6","72.9","92.5","86.0","90.4","78.8","83.1","86.6","92.2"
"Q 3","86.7","88.5","73.5","81.3","82.8","90.8","87.1","92.7","93.2","96.4","63.8","79.5"
"Q 4","89.0","91.7","81.0","90.2","21.1","38.4","88.2","94.2","84.7","92.7","74.4","88.1"
"Q 5","82.1","90.7","64.6","84.7","77.1","90.8","42.9","65.0","90.0","95.7","48.6","61.1"
"Q 6","75.8","82.8","94.7","96.6","82.7","93.1","87.9","93.8","83.2","89.5","83.2","90.6"
"Q 7","89.6","94.9","41.4","65.7","57.0","72.5","92.3","95.8","80.4","88.2","82.3","90.3"
"Q 8","56.2","72.4","92.8","95.0","94.7","97.0","62.9","75.0","34.0","55.4","83.8","90.9"
"Q 9","93.4","96.8","80.0","90.6","84.5","89.3","81.1","92.0","80.2","89.0","77.9","83.8"
"Q 10","89.1","91.6","39.1","55.6","71.2","89.8","24.4","35.0","91.6","94.8","70.2","82.0"
