"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Ananthapuram","ble",6.9,2.6,69.1,7.9,2.6,79.1,0.010191
"Ananthapuram","fever",6.6,2,66.4,7.9,1.6,79.2,4e-06
"Ananthapuram","fgr",7.1,2.3,70.8,8,1.7,79.7,0.002886
"Ananthapuram","hrt",7,1.8,69.6,8,1.5,80.4,1.5e-05
"Ananthapuram","plscs",8.4,1.6,83.5,9.2,1.1,92.3,2.9e-05
"Ananthapuram","tb",7.1,1.8,71.4,8.3,1.3,82.9,2e-06
"Annamayya","ble",7.4,2.8,74.3,9,1.7,90.5,0.000149
"Annamayya","fever",7,2.1,70.2,8.7,1.2,87.2,0
"Annamayya","fgr",7.8,2.4,77.8,9.3,1.1,92.6,1.6e-05
"Annamayya","hrt",7.1,2.1,70.9,8.7,1.3,86.9,1e-06
"Annamayya","plscs",8.2,2.2,82.2,9.4,0.7,93.5,0.000119
"Annamayya","tb",7,2.1,70.3,8.5,0.9,85.4,1e-06
"Bapatla","ble",7.7,1.8,76.7,8.8,1.5,88.1,0.000358
"Bapatla","fever",8.2,1.5,82.5,8.8,1.3,87.7,0.041872
"Bapatla","fgr",8.1,1.7,80.7,8.8,1.7,87.5,0.031839
"Bapatla","hrt",7.3,1.7,73.5,9,1.2,90.3,0
"Bapatla","plscs",8.2,1.5,81.9,9.1,1.3,91.1,0.000504
"Bapatla","tb",7.3,1.6,73.4,8.6,1.2,86,2e-06
"Chittoor","ble",7.7,2.1,76.8,8.4,1.4,84.4,0.013109
"Chittoor","fever",7.2,1.8,71.9,7.9,1.6,79.1,0.017148
"Chittoor","fgr",7.6,2.4,75.6,8.1,1.7,80.6,0.161649
"Chittoor","hrt",7.3,1.6,73.4,8.1,1.5,81,0.005037
"Chittoor","plscs",8.5,1.7,85.1,9,1.4,89.7,0.098018
"Chittoor","tb",7.5,1.9,75.3,8.6,1.4,85.9,0.000399
"East Godavari","ble",7.5,2.1,75.5,9.8,0.8,97.5,0
"East Godavari","fever",7.6,1.1,76.4,9.6,1,96.4,0
"East Godavari","fgr",8,1.3,80.4,9.7,0.9,97.2,0
"East Godavari","hrt",7.5,1.3,74.5,9.4,1.1,93.5,0
"East Godavari","plscs",8.6,1.4,86.2,9.5,1,95.4,0.000245
"East Godavari","tb",7.1,1.6,71.5,9.7,0.7,96.7,0
"Eluru","ble",7.6,2.2,75.9,8.1,2.3,80.9,0.36348
"Eluru","fever",7.5,1.6,75.5,8.6,1.4,86,0.001762
"Eluru","fgr",7.4,2.2,74.4,8.5,1.4,85,0.018165
"Eluru","hrt",7.5,1.8,74.9,8.7,1.4,86.8,0.001287
"Eluru","plscs",8.8,1.5,87.9,9.1,1.4,91,0.351968
"Eluru","tb",7.7,1.5,76.8,8.6,1.6,86.2,0.008343
"Kakinada","ble",7.7,2,77.2,8.1,2,81.3,0.177709
"Kakinada","fever",7.3,1.5,73.1,7.8,1.4,78.5,0.016306
"Kakinada","fgr",7.7,1.9,76.7,7.9,1.8,79.1,0.410237
"Kakinada","hrt",7.7,1.6,76.6,8.3,1.8,82.9,0.014361
"Kakinada","plscs",8.4,1.4,83.8,8.9,1.4,89.2,0.013624
"Kakinada","tb",7.8,1.4,77.9,8.4,1.5,84.2,0.004819
"Konaseema","ble",7.2,2.4,71.9,8.7,1.7,86.9,6e-06
"Konaseema","fever",6.8,1.6,67.5,7.9,1.3,79.2,1e-06
"Konaseema","fgr",7.3,2.2,73.2,8.6,1.3,86.1,7e-06
"Konaseema","hrt",6.8,1.7,67.6,8.4,1.3,84.4,0
"Konaseema","plscs",8.1,1.6,81.1,8.8,1.4,88.1,0.003036
"Konaseema","tb",6.6,1.5,66.4,8.6,1.1,85.6,0
"Krishna","ble",7.6,2.5,75.8,8.4,2.3,83.8,0.073518
"Krishna","fever",8.1,1.1,80.9,8.6,1.5,86.3,0.056393
"Krishna","fgr",8.3,1.6,82.5,8.7,1.7,86.7,0.220985
"Krishna","hrt",7.5,1.4,74.9,7.9,1.5,78.8,0.162371
"Krishna","plscs",8.6,1.8,86.2,8.9,1.9,88.7,0.493136
"Krishna","tb",7.7,1.8,77.1,8.3,1.7,83.3,0.037205
"Kurnool","ble",7.2,2.4,72,7.7,2.4,76.9,0.404594
"Kurnool","fever",7.5,1.8,75.4,7.6,2.2,76,0.905756
"Kurnool","fgr",7.8,2,78.3,7.8,2.6,77.7,0.918158
"Kurnool","hrt",6.9,2.2,69.4,7.3,2.4,73.1,0.501458
"Kurnool","plscs",8.7,1.9,87.4,8.7,2.3,87.1,0.955083
"Kurnool","tb",7.3,2,73.4,8.1,1.9,80.9,0.119846
"Nandyal","ble",7.5,2.3,75.2,8,2.5,79.9,0.256819
"Nandyal","fever",7.3,2.2,73,8,2,79.6,0.065673
"Nandyal","fgr",8,2,80,8.3,2.4,83.3,0.380499
"Nandyal","hrt",7.8,1.9,77.5,8.2,2.3,81.9,0.222125
"Nandyal","plscs",8.7,1.5,86.8,8.6,2.2,86.2,0.857239
"Nandyal","tb",7.6,2.1,76.4,7.9,2.2,79.4,0.406081
"Nellore","ble",7.4,1.9,74.3,8.1,1.5,81.4,0.031979
"Nellore","fever",8.2,1.1,81.9,8.5,1,85.1,0.110712
"Nellore","fgr",8,1.1,79.8,8.5,1.2,84.8,0.018634
